,Unstandardised Residuals,Standardised Residuals,Date,Loss,Estimated VaR 95%,Estimated VaR 99%,Estimated ES 95%,Estimated ES 99%,var_95_hist,var_99_hist
501,0.009913498411769694,1.0354483438668114,10/31/2014,0.009913498411769694,0.015946436069074026,0.02123210499921992,0.020589120038622233,0.030104152375575316,1.6655786012632365,2.217657888777927
503,0.0008304033515162956,0.08926118544931418,11/4/2014,0.0008304033515162956,0.01549499982260702,0.020631033904467286,0.020006251551392035,0.029251917713696434,1.6655786012632365,2.217657888777927
504,0.006248663121472653,0.6926061375369277,11/5/2014,0.006248663121472653,0.015026779315932189,0.02000761517206552,0.01940171219383812,0.02836799723031995,1.6655786012632365,2.217657888777927
505,0.004187548405419683,0.47156980603821824,11/6/2014,0.004187548405419683,0.014790368099300554,0.01969284215615315,0.019096471643747726,0.027921693162254464,1.6655786012632365,2.217657888777927
506,0.0016800041441413782,0.1937635057571675,11/7/2014,0.0016800041441413782,0.014441207293298213,0.019227947124903423,0.01864565531611034,0.027262537093654397,1.6655786012632365,2.217657888777927
507,0.002103941529088438,0.24998365356758248,11/10/2014,0.002103941529088438,0.014018036536182481,0.01866451051068055,0.018099281601171767,0.026463662856306434,1.6655786012632365,2.217657888777927
508,0.00042128762923798746,0.05152621983588857,11/11/2014,0.00042128762923798746,0.01361806983843552,0.01813196926535338,0.01758286763157425,0.025708593926673847,1.6655786012632365,2.217657888777927
509,0.0008432701539957677,0.10636912396305033,11/12/2014,0.0008432701539957677,0.013204327263870297,0.017581085936453765,0.01704866704305951,0.024927518490443314,1.6655786012632365,2.217657888777927
510,0.002111048103096813,0.2745530606453186,11/13/2014,0.002111048103096813,0.012806692223685296,0.017051649209149516,0.01653526357544653,0.024176851332731977,1.6655786012632365,2.217657888777927
512,0.0012676880744546537,0.17490138366448132,11/17/2014,0.0012676880744546537,0.011979249810489997,0.01552651629082373,0.015228151361498691,0.021791756430082174,1.6527625441443898,2.142174591271128
513,0.0029641635822192924,0.42140093597601397,11/18/2014,0.0029641635822192924,0.011625647038638184,0.015068205521410616,0.014778647710035508,0.02114850868092438,1.6527625441443898,2.142174591271128
515,0.001697023786308982,0.25518373347438505,11/20/2014,0.001697023786308982,0.01086228612761316,0.014245897206370067,0.013870062782080774,0.019994383558704566,1.6333764738443461,2.142174591271128
516,0.004681837157682445,0.7246306999892603,11/21/2014,0.004681837157682445,0.010553241351549314,0.013840584727924187,0.013475443233661502,0.01942551990359182,1.6333764738443461,2.142174591271128
517,0.001280763660245654,0.2011160901034316,11/24/2014,0.001280763660245654,0.0104017994289972,0.013641968521716173,0.013282066908552822,0.019146758338042826,1.6333764738443461,2.142174591271128
518,0.0004272276142280873,0.06910561060920849,11/25/2014,0.0004272276142280873,0.010097928777490887,0.013243441911890724,0.012894054204366167,0.01858741877664004,1.6333764738443461,2.142174591271128
519,0.00042748688382410194,0.07130938295095007,11/26/2014,0.00042748688382410194,0.009791797236495599,0.012841950143637626,0.012503154568387532,0.018023917559845812,1.6333764738443461,2.142174591271128
520,0.0008552921923907775,0.1471309352422655,11/28/2014,0.0008552921923907775,0.009495040203567846,0.012452753050439243,0.012124225250067651,0.017477672149773523,1.6333764738443461,2.142174591271128
